Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score,sentiment_polarity
2011-02-01,0.36516938,0.27340785,0.3614228,-0.0037465692,0
2011-02-02,0.023018401,0.040508598,0.936473,0.9134546,1
2011-02-03,0.5298254,0.022885459,0.44728917,-0.08253622,0
2011-02-04,0.06915527,0.15639569,0.774449,0.7052937,1
2011-02-09,0.08231374,0.026676377,0.8910099,0.8086962,1
2011-02-14,0.038662836,0.06874018,0.892597,0.85393417,1
2011-02-15,0.252282,0.05575503,0.69196296,0.43968096,1
2011-02-16,0.009504812,0.95218146,0.038313784,0.028808972,0
2011-02-18,0.027529188,0.19588697,0.7765838,0.7490546,1
2011-02-23,0.095693864,0.01687024,0.8874359,0.791742,1
2011-02-24,0.02394543,0.038269553,0.937785,0.9138396,1
2011-02-28,0.04272981,0.13278887,0.8244813,0.7817515,1
2011-03-01,0.01894024,0.9151381,0.0659217,0.04698146,0
2011-03-04,0.07500067,0.036548767,0.8884506,0.81345,1
2011-03-08,0.098743305,0.14819992,0.75305676,0.65431345,1
2011-03-09,0.43003136,0.054834776,0.5151339,0.08510256,0
2011-03-10,0.025801023,0.03704933,0.93714964,0.91134864,1
2011-03-11,0.26178208,0.18608376,0.55213416,0.29035208,1
2011-03-14,0.02220028,0.041486535,0.9363132,0.9141129,1
2011-03-15,0.02360358,0.038349815,0.9380466,0.914443,1
2011-03-16,0.48670417,0.032253586,0.48104233,-0.005661845,0
2011-03-17,0.10703018,0.40771005,0.4852597,0.37822953,1
2011-03-23,0.055289738,0.06569806,0.8790122,0.8237225,1
2011-03-29,0.030670982,0.028031673,0.9412974,0.9106264,1
2011-03-30,0.061493684,0.03079077,0.90771556,0.84622186,1
2011-03-31,0.053992,0.047134966,0.898873,0.844881,1
2011-04-01,0.041476544,0.47904935,0.47947407,0.43799752,1
2011-04-04,0.09971327,0.33630833,0.56397843,0.46426517,1
2011-04-05,0.026065646,0.032246232,0.9416882,0.91562253,1
2011-04-06,0.040711734,0.23743773,0.7218506,0.6811388,1
2011-04-12,0.12240365,0.014334039,0.8632623,0.7408587,1
2011-04-13,0.089804575,0.038029216,0.8721662,0.7823616,1
2011-04-14,0.13120863,0.013757823,0.8550335,0.72382486,1
2011-04-15,0.26692468,0.24572928,0.48734605,0.22042137,1
2011-04-18,0.054213017,0.019042104,0.9267449,0.8725319,1
2011-04-19,0.061213482,0.01773562,0.92105085,0.85983735,1
2011-04-20,0.07489275,0.02460555,0.9005017,0.82560897,1
2011-04-21,0.19175185,0.20198973,0.6062584,0.41450655,1
2011-04-25,0.011523658,0.9623843,0.02609202,0.014568362,0
2011-04-26,0.0868332,0.021426717,0.8917401,0.8049069,1
2011-04-27,0.023619676,0.036389332,0.93999094,0.9163713,1
2011-04-28,0.0892002,0.012828235,0.8979716,0.8087714,1
2011-04-29,0.056350403,0.12638468,0.8172649,0.7609145,1
2011-05-02,0.040681668,0.06907522,0.8902431,0.84956145,1
2011-05-03,0.06364063,0.02545347,0.91090584,0.8472652,1
2011-05-05,0.05253197,0.03582185,0.9116462,0.8591142,1
2011-05-06,0.09091673,0.026830202,0.8822531,0.79133636,1
2011-05-09,0.026756454,0.040224828,0.93301874,0.9062623,1
2011-05-10,0.026839217,0.1045866,0.86857414,0.84173495,1
2011-05-11,0.023067731,0.48866874,0.48826352,0.46519578,1
2011-05-12,0.100335464,0.019814324,0.8798502,0.77951473,1
2011-05-13,0.062449425,0.15773578,0.77981484,0.7173654,1
2011-05-16,0.032881543,0.860235,0.106883526,0.07400198,0
2011-05-17,0.032179832,0.04682427,0.92099595,0.8888161,1
2011-05-18,0.05856747,0.024008144,0.9174243,0.85885686,1
2011-05-20,0.07712846,0.03621117,0.88666034,0.80953187,1
2011-05-23,0.062844485,0.32484764,0.6123079,0.5494634,1
2011-05-25,0.02369202,0.08778279,0.8885252,0.8648332,1
2011-05-26,0.01623657,0.8101684,0.17359509,0.15735851,1
2011-05-27,0.12602454,0.029859254,0.8441162,0.71809167,1
2011-06-01,0.043618675,0.07547137,0.88091,0.8372913,1
2011-06-02,0.23129252,0.07088281,0.6978247,0.4665322,1
2011-06-03,0.096360005,0.057821304,0.8458187,0.7494587,1
2011-06-07,0.054778744,0.06667948,0.87854177,0.823763,1
2011-06-08,0.048682228,0.07115042,0.88016737,0.83148515,1
2011-06-09,0.08752547,0.013899776,0.89857477,0.8110493,1
2011-06-10,0.09639204,0.46823925,0.43536866,0.33897662,1
2011-06-13,0.25577378,0.06274116,0.68148506,0.42571127,1
2011-06-14,0.049593348,0.016040478,0.9343662,0.8847729,1
2011-06-15,0.09056113,0.025334345,0.88410455,0.7935434,1
2011-06-16,0.22261786,0.053149488,0.7242326,0.50161475,1
